Tidsstempel,I have read and understood the above consent statement and agree to participate.,What is your age?,What is your gender?,In which city do you live in? (answer in postal code),What types of events do you enjoy attending? (Select all that apply),Which of the following categories interesst you? (Select all that apply),How often do you attend events?,How far are you willing to travel for an event?,How important is it for you to meet new people at events?,What age are the people you typically connect with?,What gender are the people you typically connect with? (Select all that apply),How often do you maintain contact with new people you connect with at events?,How often do you wish you maintained contact with new people you connected with at events?
28/05/2024 08.54.48,I agree to participate,25,Female,8200,"Festival, Party, Conference, Attraction, Performance (e.g. concerts), Retreat, Seminar, Games","Food & Drink, Music, Charity, Education, Film & Media, Performing and Visual Arts, Spirituality, Sports & Fitness, Travel & Outdoor",Once a week,To neighboring cities,5,Same age as myself,Female,Never,Sometimes
28/05/2024 10.18.48,I agree to participate,23,Male,8200,"Festival, Party, Attraction, Performance (e.g. concerts), Seminar, Games","Food & Drink, Health, Music, Education, Film & Media, Science & Tech",Rarely,To neighboring cities,4,Same age as myself,Male,Never,Sometimes
28/05/2024 17.21.01,I agree to participate,22,Genderqueer,8000,"Festival, Party, Attraction, Performance (e.g. concerts), Games","Food & Drink, Music, Film & Media, Performing and Visual Arts, Spirituality",Once a month,"Within the area i live in (Sjælland, Jylland, Fyn, Bornholm)",5,Same age as myself,"Female, Genderqueer",Sometimes,Sometimes
28/05/2024 20.50.12,I agree to participate,22,Female,4000,"Party, Attraction, Performance (e.g. concerts), Games","Food & Drink, Health, Music, Business, Sports & Fitness, Travel & Outdoor",Once a week,"Within the area i live in (Sjælland, Jylland, Fyn, Bornholm)",2,Same age as myself,"Female, Male",Sometimes,Always
28/05/2024 21.21.28,I agree to participate,22,Female,4600,"Festival, Party, Conference, Retreat","Food & Drink, Health, Music, Business, Education, Sports & Fitness, Travel & Outdoor",Once a month,"Within the area i live in (Sjælland, Jylland, Fyn, Bornholm)",4,Same age as myself,"Female, Male",Sometimes,Sometimes
29/05/2024 12.36.53,I agree to participate,22,Female,9000,"Festival, Party, Conference, Attraction, Networking, Performance (e.g. concerts), Retreat, Race, Seminar","Food & Drink, Health, Music, Business, Charity, Education, Film & Media, Performing and Visual Arts, Spirituality, Science & Tech, Sports & Fitness, Travel & Outdoor",Once a month,To neighboring cities,5,Same age as myself,"Female, Male, Genderqueer",Sometimes,Sometimes
29/05/2024 16.56.46,I agree to participate,56,Female,"66203, USA","Party, Conference, Attraction, Networking, Games","Food & Drink, Health, Business, Charity, Film & Media, Travel & Outdoor",Once a month,Anywhere in Denmark,2,Same age as myself,"Female, Male",Sometimes,Sometimes
29/05/2024 20.23.36,I agree to participate,58,Female,45701,"Attraction, Performance (e.g. concerts), Games","Health, Music, Charity, Education, Film & Media, Sports & Fitness, Travel & Outdoor",Rarely,Anywhere in Denmark,4,Same age as myself,Other,Sometimes,Sometimes
30/05/2024 09.27.38,I agree to participate,57,Female,7321,"Party, Networking, Performance (e.g. concerts), Retreat, Seminar","Health, Business, Charity, Education, Spirituality, Science & Tech, Travel & Outdoor",Once a week,Anywhere in Denmark,1,Same age as myself,"Female, Male",Sometimes,Sometimes
30/05/2024 11.04.16,I agree to participate,21,Female,8000,"Party, Performance (e.g. concerts), Retreat, Seminar, Games","Food & Drink, Music, Charity, Education, Film & Media, Performing and Visual Arts, Sports & Fitness",Once a month,Anywhere in Denmark,4,Same age as myself,"Female, Male, Genderqueer",Sometimes,Sometimes
